deptCode,courseNum,seconddeptCode,secondcourseNum
PHIL,3016,AMST,3016
JRMC,4444,AMST,4444
SOC,2005,ANTH,2005
PSYC,2201,ANTH,2201
SOC,2201,ANTH,2201
SOC,3303,ANTH,3020
SOC,3045,ANTH,3045
SOC,3060,ANTH,3060
FILM,3041,ANTH,3070
LING,3075,ANTH,3075
SOC,3085,ANTH,3085
SOC,3102,ANTH,3102
PSYC,3202,ANTH,3202
SOC,3202,ANTH,3202
PSYC,4015,ANTH,4015
SOC,4025,ANTH,4025
SOC,4055,ANTH,4055
SOC,4107,ANTH,4107
PSYC,4203,ANTH,4203
SOC,4203,ANTH,4203
ARIC,5132,ANTH,4499
POLS,4560,ANTH,4560
SOC,4560,ANTH,4560
APLN,5203,APLN,5100
APLN,5202,APLN,5104
APLN,5301,APLN,5201
APLN,5104,APLN,5202
APLN,5100,APLN,5203
APLN,5331,APLN,5205
APLN,5370,APLN,5270
APLN,5201,APLN,5301
APLN,5205,APLN,5331
APLN,5270,APLN,5370
HIST,2203,ARIC,2346
HIST,3215,ARIC,3321
HIST,3210,ARIC,3343
HIST,3211,ARIC,3344
HIST,3212,ARIC,3345
HIST,3213,ARIC,3355
HIST,3214,ARIC,3356
HIST,3288,ARIC,3397
PHIL,3015,ARIC,3405
HIST,4221,ARIC,5101
TRST,5217,ARIC,5117
TRST,5218,ARIC,5118
ANTH,4499,ARIC,5132
HIST,4905,ARIC,5132
SOC,4499,ARIC,5132
HIST,4219,ARIC,5134
HIST,4220,ARIC,5135
HIST,4288,ARIC,5136
HIST,5222,ARIC,5231
HIST,5223,ARIC,5232
CREL,5609,ARIC,5245
CHEM,3015,BIOL,3280
CHEM,3910,BIOL,3910
CHEM,5201,BIOT,5201
NANO,5271,BIOT,5271
ENVE,5254,CENG,4555
CENG,4440,CENG,5246
BIOT,5201,CHEM,5201
NANO,5205,CHEM,5205
NANO,5241,CHEM,5241
NANO,5242,CHEM,5242
NANO,6240,CHEM,6240
HIST,2604,CREL,2605
HIST,3208,CREL,3209
ARIC,5245,CREL,5609
ECNG,4505,CSCE,3301
RCSS,5245,CSCE,5261
HIST,2019,ECLT,2019
AMST,3010,ECLT,3010
AMST,3011,ECLT,3011
PHIL,3014,ECLT,3014
FILM,3030,ECLT,3030
ECLT,5106,ECLT,4009
ECLT,5107,ECLT,4010
ECLT,5108,ECLT,4011
ECLT,5109,ECLT,4012
GWST,5101,ECLT,5101
ECLT,4009,ECLT,5106
ECLT,4010,ECLT,5107
ECLT,4011,ECLT,5108
ECLT,4012,ECLT,5109
PHYS,3023,ECNG,3401
CSCE,3301,ECNG,4505
NANO,5261,ECNG,5210
NANO,5262,ECNG,5218
RCSS,5234,ECNG,5226
MGMT,5309,ECNG,5272
GREN,5204,ECNG,5274
MGMT,5307,ECNG,5274
PSYC,5265,EDUC,5265
HIST,3903,EGPT,5120
HIST,3904,EGPT,5130
EGPT,5150,EGPT,5150
EGPT,5153,EGPT,5153
EGPT,5170,EGPT,5170
EGPT,5191,EGPT,5191
GREN,5202,ENGR,5240
GREN,5213,ENVE,5254
THTR,2201,FILM,2201
THTR,2211,FILM,2211
ECLT,3030,FILM,3030
ANTH,3070,FILM,3041
MUSC,3306,FILM,3306
PHIL,5150,FILM,4350
INTB,3501,FINC,3501
ACCT,4004,FINC,4970
GREN,5224,FINC,5202
ENGR,5240,GREN,5202
PPAD,5132,GREN,5203
ECNG,5274,GREN,5204
MKTG,5201,GREN,5221
MGMT,5308,GREN,5222
MGMT,5202,GREN,5223
FINC,5202,GREN,5224
PPAD,5141,GREN,5231
PPAD,5142,GREN,5232
PPAD,5143,GREN,5233
MRS,5103,GREN,5236
ECLT,5101,GWST,5101
LAW,5220,GWST,5102
MRS,5104,GWST,5104
ECLT,2019,HIST,2019
ARIC,2346,HIST,2203
CREL,2605,HIST,2604
CREL,3209,HIST,3208
ARIC,3343,HIST,3210
ARIC,3344,HIST,3211
ARIC,3345,HIST,3212
ARIC,3355,HIST,3213
ARIC,3356,HIST,3214
ARIC,3397,HIST,3288
EGPT,5120,HIST,3903
EGPT,5130,HIST,3904
ARIC,5134,HIST,4219
ARIC,5135,HIST,4220
ARIC,5101,HIST,4221
ARIC,5136,HIST,4288
ARIC,5231,HIST,5222
ARIC,5232,HIST,5223
FINC,3501,INTB,3501
MKTG,4601,INTB,4601
AMST,4444,JRMC,4444
POLS,4371,LAW,4371
POLS,4375,LAW,4375
POLS,4378,LAW,4378
MRS,5101,LAW,5218
GWST,5102,LAW,5220
MRS,5228,LAW,5228
ANTH,3075,LING,3075
MENG,5230,MENG,4229
NANO,5203,MENG,5228
MENG,4229,MENG,5230
NANO,5204,MENG,5231
NANO,5202,MENG,5232
NANO,5233,MENG,5234
NANO,6230,MENG,5235
RCSS,5201,MENG,5271
RCSS,5202,MENG,5272
RCSS,5203,MENG,5273
RCSS,5221,MENG,5274
GREN,5215,MENG,6261
RCSS,5233,MENG,6270
MRS,5102,MEST,5200
MRS,5205,MEST,5205
GREN,5223,MGMT,5202
ECNG,5273,MGMT,5308
ECNG,5272,MGMT,5309
INTB,4601,MKTG,4601
GREN,5221,MKTG,5201
LAW,5218,MRS,5101
MEST,5200,MRS,5102
GREN,5236,MRS,5103
GWST,5104,MRS,5104
PSYC,412,MRS,5112
MEST,5205,MRS,5205
LAW,5228,MRS,5228
FILM,3306,MUSC,3306
MENG,5232,NANO,5202
MENG,5228,NANO,5203
MENG,5231,NANO,5204
CHEM,5205,NANO,5205
PHYS,5207,NANO,5207
PHYS,5043,NANO,5210
PHYS,5277,NANO,5221
PHYS,5236,NANO,5222
MENG,5234,NANO,5233
CHEM,5241,NANO,5241
CHEM,5242,NANO,5242
ECNG,5210,NANO,5261
ECNG,5218,NANO,5262
BIOT,5271,NANO,5271
PHYS,6121,NANO,6121
MENG,5235,NANO,6230
ECLT,3014,PHIL,3014
ARIC,3405,PHIL,3015
AMST,3016,PHIL,3016
FILM,4350,PHIL,5150
ECNG,3401,PHYS,3023
NANO,5210,PHYS,5043
NANO,5207,PHYS,5207
NANO,5222,PHYS,5236
NANO,5221,PHYS,5277
RCSS,5242,PHYS,5277
NANO,6121,PHYS,6121
SEMR,4018,POLS,4018
SOC,4035,POLS,4035
LAW,4371,POLS,4371
LAW,4375,POLS,4375
LAW,4378,POLS,4378
ANTH,4560,POLS,4560
GREN,5235,PPAD,5128
GREN,5203,PPAD,5132
GREN,5231,PPAD,5141
GREN,5232,PPAD,5142
GREN,5233,PPAD,5143
PPAD,5198,PPAD,5198
SOC,3010,PSYC,3010
ANTH,3202,PSYC,3202
ANTH,4015,PSYC,4015
ANTH,4203,PSYC,4203
GREN,5246,PSYC,5210
GREN,5245,PSYC,5233
GREN,5247,PSYC,5243
GREN,5248,PSYC,5253
EDUC,5265,PSYC,5265
MENG,5271,RCSS,5201
MENG,5272,RCSS,5202
MENG,5273,RCSS,5203
MENG,5274,RCSS,5221
MENG,6270,RCSS,5233
ECNG,5226,RCSS,5234
CSCE,5261,RCSS,5245
POLS,4018,SEMR,4018
ANTH,2005,SOC,2005
ANTH,2201,SOC,2201
PSYC,3010,SOC,3010
ANTH,3045,SOC,3045
ANTH,3060,SOC,3060
ANTH,3085,SOC,3085
ANTH,3102,SOC,3102
ANTH,3020,SOC,3303
ANTH,4025,SOC,4025
POLS,4035,SOC,4035
ANTH,4050,SOC,4106
ANTH,4107,SOC,4107
FILM,2201,THTR,2201
FILM,2211,THTR,2211
ARIC,5117,TRST,5217
ARIC,5118,TRST,5218
